title,comapnyURL1,comapnyURL2,companyId,companyUniversalName,companyName,salaryInsights,applicants,formattedLocation,formattedEmploymentStatus,formattedExperienceLevel,formattedIndustries,jobDescription,inferredBenefits,jobFunctions,workplaceTypes,company_data,companyApplyUrl,jobPostingUrl,listedAt
Ingeniero de Datos (ETL-Datawarehouse),https://www.linkedin.com/company/1111615,https://www.linkedin.com/company/bdg-ca,1111615,bdg-ca,"Business Development Group, S.A.",,22,"Guatemala, Guatemala, Guatemala",Full-time,,,"Estamos buscando nuestro próximo Ingeniero de Datos, para unirse a BDG, S.A. 
ResponsabilidadesDebes contar con experiencia y conocimientos en Tabla de Hechos, Dimensiones, Cubos - comprobable para ejecutar servicios de análisis, ETL, SQL y Datawarehousing. 
Experiencia relevante:Proyectos ETL:Experiencia práctica en proyectos ETL, incluyendo el diseño, desarrollo, y optimización de procesos de extracción, transformación y carga de datos.Data Warehousing:Experiencia en el diseño y mantenimiento de data warehouses y sistemas de almacenamiento de datos.Big Data:Familiaridad con tecnologías de big data como Hadoop, Spark, o Flink.Análisis de Datos:Experiencia en el análisis y visualización de datos, aunque no siempre es un requisito principal.
",,IT,['Hybrid'],"{'name': 'Business Development Group, S.A.', 'logo': 'https://media.licdn.com/dms/image/v2/C4D0BAQHIwQ8h1gc6Bw/company-logo_200_200/company-logo_200_200/0/1631353260722?e=1733356800&v=beta&t=Yit-3CFIhC_VDIoE1X3ehmmHcEp-5JxRaKsLAyBUods', 'backgroundCoverImage': 'https://media.licdn.com/dms/image/v2/C4D1BAQG9IXNcvFb3tA/company-background_10000/company-background_10000/0/1583729331412/bdg_ca_cover?e=1725778800&v=beta&t=4dWBOgJ3D3HXIeXx2vnqjPsHhaykIhJAthZqM5cGGY8', 'description': 'BDG es una empresa que ofrece Servicios Tecnológicos de clase mundial mediante el desarrollo, la integración y la implementación de alta calidad de soluciones a la medida para nuestros clientes. Somos un equipo de profesionales altamente competentes, dedicados a la prestación de mejores prácticas a través de la investigación y el desarrollo.\n\nBasados en nuestros años de experiencia y una combinación de las mejores prácticas de la industria a nivel mundial como CMMI, ITIL , ISO, PMI y AGILE SCRUM, hemos desarrollado nuestra propia metodología y procesos.\n\nOfrecemos servicios especializados que ayudan a mejorar sus procesos, estándares y resultados basados en buenas prácticas de la industria. \n\nContamos con diversos productos tecnológicos de alta calidad, adaptables a diferentes industrias que le apoyarán en una gestión eficiente. \n\nNuestro talento es altamente capacitado y cuenta con certificaciones en estándares mundiales como:\n- ITIL\n- SCRUM\n- PMP\n- CRM\n- IPMA', 'staffCount': 198, 'staffCountRange': {'staffCountRangeStart': 51, 'staffCountRangeEnd': 200}, 'universalName': 'bdg-ca', 'url': 'https://www.linkedin.com/company/bdg-ca', 'industries': ['Software Development'], 'specialities': ['Outsourcing IT', 'Software Development', 'Mobile Development', 'Recruiting IT', 'ITIL', 'ITIL Consulting Services']}",,https://www.linkedin.com/jobs/view/4014007778/?trk=jobs_biz_prem_srch,2024-08-30 22:50:57+00:00
Analista de Integridad de Datos,https://www.linkedin.com/company/76975908,https://www.linkedin.com/company/navaru-soluciones-empresariales,76975908,navaru-soluciones-empresariales,NAVARU SOLUCIONES EMPRESARIALES ,,7,"Guatemala, Guatemala, Guatemala",Full-time,Mid-Senior level,Outsourcing and Offshoring Consulting,"Conocimientos en soporte técnico y funcionamiento de sistemas informáticos

Documentar todos los procesos relacionados al uso de sistemas informáticos e integridad de datos

Trabajo 60% documental y 40% aplicación o investigación técnica informática

Requerimos

Experiencia mínima de 1 año en áreas técnicas o de tecnología

Estudiante activo de ingeniería en sistemas o telecomunicaciones

Vivir en cercanías a zona 1 de Mixco o Calzada Roosevelt

Dominio de Excel y Word intermedio

SAP Business One (ideal, pero no indispensable)

Se Ofrece

Salario de Q.4,750.00

Todas las prestaciones de ley

Horario de lunes a viernes

Servicios médicos gratuitos

Parqueo

Capacitación, orientación y entrenamiento en el puesto

Estabilidad y excelente ambiente laboral",,IT,['On-site'],"{'name': 'NAVARU SOLUCIONES EMPRESARIALES ', 'logo': 'https://media.licdn.com/dms/image/v2/C4D0BAQFU0HXgGXfa4g/company-logo_200_200/company-logo_200_200/0/1635361542421?e=1733356800&v=beta&t=ms5-6AvDBFfDN7SPTAuk-hLh3w2vt_vtw6rurmSAt4k', 'backgroundCoverImage': 'https://media.licdn.com/dms/image/v2/C4D1BAQG0Qn4hk9gGQA/company-background_10000/company-background_10000/0/1635361710438/navaru_soluciones_empresariales_cover?e=1725778800&v=beta&t=UX8xCMlDQzrFA4b9lwujQK3Qee15l_sBkpdYeOAajq0', 'description': '\nSomos un equipo de profesionales que brindan soluciones en la gestión del talento humano durante todo el ciclo de vida laboral en las empresas.\n\nQueremos ser un socio de confianza,  ya sea siendo su equipo de recursos humanos o apoyando al que ya tiene con capacidad adicional.', 'staffCount': 2, 'staffCountRange': {'staffCountRangeStart': 2, 'staffCountRangeEnd': 10}, 'universalName': 'navaru-soluciones-empresariales', 'url': 'https://www.linkedin.com/company/navaru-soluciones-empresariales', 'industries': ['Human Resources Services'], 'specialities': ['Administración', 'Estratégia', 'Gestión del Talento Humano', 'Clima Laboral', 'Gestión por Competencias', 'Evaluación del Desempeño', 'Atracción del Talento', 'Estructura Organizacional', 'Planes de Carrera y Sucesión ', 'Escala  Salarial']}",https://www.unmejorempleo.com.gt/empleo-en_guatemala_analista_de_integridad_de_datos-5633385.html,https://www.linkedin.com/jobs/view/3996923232/?trk=jobs_biz_prem_srch,2024-08-13 02:22:48+00:00
Jefe de ciencia de datos,https://www.linkedin.com/company/253356,https://www.linkedin.com/company/baccredomatic,253356,baccredomatic,BAC,,74,"Guatemala, Guatemala",Full-time,Mid-Senior level,"Banking, Data Infrastructure and Analytics","Objetivo del Puesto:Liderar el equipo de Estrategia y Ciencia de datos con el objetivo de implementar acciones, sistemas, herramientas y estrategias en pro de generar negocio para tarjeta de crédito y eficientizar recursos.
Requisitos:Graduado de Ingeniería, Matemática, Economía, o carrera afín.Graduado de Maestría en las carreras de Data Science, Proyectos, Big Data o carrera afín.Experiencia mínima de 1 año liderando personal, en el área de Estrategia y Análisis de Datos.
Conocimientos Requeridos:Experiencia de 1 año liderando equipos de Analytics, Estrategia.Alta habilidad numérica y síntesis.Conocimiento en programas de estadística y programación como: SAS, Python, Metodologías ágiles, Programación Web, Power BI, Programación de Bots, nivel avanzadoGestión de Proyectos, automatización y minería de datos.
Ofrecemos:Salario competitivoSeguro de vida y gastos médicos.Paquete atractivo de benefícios adicionales a los de ley.Oportunidad de desarrollo constante.Entorno de trabajo innovador y colaborativo.¡Y MÁS!",,"ENG, RSCH, STRA",['On-site'],"{'name': 'BAC', 'logo': 'https://media.licdn.com/dms/image/v2/C4D0BAQETVBlVOx1izw/company-logo_200_200/company-logo_200_200/0/1630522937177/empleosbaccredomatic_logo?e=1733356800&v=beta&t=GYc_SdbZ_sKYXcFlhnlQJRZ0NX13QLlSkQN9c32iV1o', 'backgroundCoverImage': 'https://media.licdn.com/dms/image/v2/D4E3DAQFFU8EmWsWfpQ/image-scale_127_750/image-scale_127_750/0/1706567156762/baccredomatic_cover?e=1725778800&v=beta&t=I2UpOEecO357iveQcajxQuDuQskTzPZ5ILnNYHDwHeU', 'description': 'Reimaginamos la banca para generar prosperidad en las comunidades que servimos.', 'staffCount': 15937, 'staffCountRange': {'staffCountRangeStart': 10001}, 'universalName': 'baccredomatic', 'url': 'https://www.linkedin.com/company/baccredomatic', 'industries': ['Banking'], 'specialities': ['Banking', 'Servicios Financieros', 'Financial Services', 'Emisor de tarjetas de crédito', 'Credit Card Issuer', 'Adquirente', 'Banca']}",,https://www.linkedin.com/jobs/view/4001749423/?trk=jobs_biz_prem_srch,2024-08-14 20:42:47+00:00
Administrador de bases de datos SQL Server,https://www.linkedin.com/company/96245076,https://www.linkedin.com/company/inversiones-centroamericanas-s-a,96245076,inversiones-centroamericanas-s-a,"Inversiones Centroamericanas, S. A.",,46,"Santa Catarina Pinula, Guatemala, Guatemala",Full-time,,,"“Velar por la óptima administración de la plataforma tecnológica de bases de datos, y sus componentes asociados. Mantener la plataforma actualizada en sus versiones más recientes, asegurar el uso de las mejores prácticas de administración y seguridad para bases de datos.”
Requisitos· Cierre de pensum de Ingeniería en Sistemas o Licenciatura en Informática.· 3 años de experiencia en administración de BD Microsoft SQL (Versiones recientes).· Nivel avanzado en programación de SQL Server· Conocimientos solidos en Sistemas operativos Windows y Linux· Inglés técnico· Conocimientos de Base de Datos SAP Hana. Deseable· Disponibilidad de laborar en Carretera a El Salvador.
Ofrecemos· Salario competitivo. · Prestaciones adicionales a las de ley.· Ambiente agradable de trabajo. 
Enviar CV al correo jessicaamezquita@icasa.com.gt colocando en el asunto DBA-SQL",,IT,['On-site'],"{'name': 'Inversiones Centroamericanas, S. A.', 'logo': 'https://media.licdn.com/dms/image/v2/D4E0BAQF-gGOldMLgqA/company-logo_200_200/company-logo_200_200/0/1685649789173/inversiones_centroamericanas_s_a_logo?e=1733356800&v=beta&t=q7vVpd7VQTS5x4PHDkFGX4myuWxtFQfSB4L0pVlxmzE', 'backgroundCoverImage': 'https://media.licdn.com/dms/image/v2/D4E3DAQE66qGCvsLICw/image-scale_127_750/image-scale_127_750/0/1685649764913/inversiones_centroamericanas_s_a_cover?e=1725778800&v=beta&t=JUIULfSS0tKCJ-Pt_96DeOjcNKCtT4vhDJnfdTZNWKM', 'description': 'Unidad de servicios profesionales', 'staffCount': 303, 'staffCountRange': {'staffCountRangeStart': 501, 'staffCountRangeEnd': 1000}, 'universalName': 'inversiones-centroamericanas-s-a', 'url': 'https://www.linkedin.com/company/inversiones-centroamericanas-s-a', 'industries': ['Business Consulting and Services'], 'specialities': []}",,https://www.linkedin.com/jobs/view/4005140200/?trk=jobs_biz_prem_srch,2024-08-21 22:33:38+00:00
"Especialista en Estándares de Datos Abiertos en Justicia, USAID JTP",https://www.linkedin.com/company/90068,https://www.linkedin.com/company/dexis-consulting-group,90068,dexis-consulting-group,Dexis Consulting Group,,35,"Guatemala City, Guatemala, Guatemala",Full-time,Mid-Senior level,International Trade and Development,"Dexis is a professional services firm that solves the most pressing social challenges in complex environments, paving the way for a more secure and prosperous world.

Dexis embraces diversity, equity, and inclusion and strives to build and maintain a safe environment where we celebrate diverse backgrounds, treat everyone with respect, and value the unique lived experiences each person brings based on their race, ethnicity, sexual orientation, gender identity, religion, disability, military or veteran status, national origin, age, marital status or family status and related conditions.

At Dexis, you will experience a corporate culture of inclusiveness, fairness, and trust. You will be given the means and mentorship needed to succeed, and your creativity will be rewarded.

Antecedentes 

Dexis Consulting Group implementa el Proyecto Justicia y Transparencia en Guatemala ejerciendo como contratista de la Agencia de los Estados Unidos para el Desarrollo Internacional (USAID). Este Proyecto tiene como objetivo principal fortalecer las instituciones de justicia y seguridad para que sean más eficientes y efectivas en la investigación, judicialización y penalización del crimen, con el fin de reducir la corrupción y la impunidad en Guatemala.

Objetivo de la consultoría

Apoyo técnico especializado para identificar la situación actual del Instituto de Asistencia y Atención a la Víctima del Delito en cuanto a la publicación de datos en formatos abiertos.

Responsabilidades

El / la consultor/a estará a cargo de ejecutar las siguientes actividades:

Identificar marco legal nacional e internacional que brinden respaldo a la publicación de datos en formatos abiertos.Identificar el tipo de datos que el Instituto de Asistencia y Atención a la Víctima del Delito produce y cual es el nivel de apertura actual de acuerdo con los estándares de datos abiertos y otros parámetros internacionales.Realizar un mapeo del ecosistema de datos del instituto para identificar los distintos roles y de datos abiertos (productores, intermediarios, habilitadores, infomediarios y/o consumidores potenciales o actuales de datos).Establecer el nivel de participación de los integrantes del ecosistema de datos que se prevé en el proceso de apertura.Realizar entrevistas, encuestas y otras técnicas de investigación necesarias para recabar la información.Realizar reuniones y sesiones de trabajo con entidades administrativas y técnicas del instituto de atención a la víctima y personas/organizaciones del ecosistema de datos que sean necesarias para recopilar los insumos.Ubicar las fortalezas y desafíos materiales e institucionales par implementar los estándares de datos abiertos en justicia.Viabilidad de la apertura de datos con especial atención a poblaciones en situación de vulnerabilidad.Realizar un mapeo de los sistemas informáticos en uso para identificar los principales flujos de información.Identificar los recursos, humanos, financieros, ajustes institucionales y demás elementos que permitan la viabilidad de la implementación de los estándares de datos abiertos en justicia.Brindar procesos de sensibilización sobre datos abiertos en justicia para brindar un primer acercamiento especializado al personal clave institucional que formará parte del proceso de implementación de los estándares de datos abiertos en justicia.Realizar las coordinaciones estratégicas y logísticas con el equipo JTP para la realización de las actividades.

Productos/Entregables 

Plan de trabajo, metodología y cronograma de actividades.Informe 1 que indique:Marco legal nacional e internacional que brinden respaldo a la publicación de datos en formatos abiertos.Tipo de datos que el Instituto de Asistencia y Atención a la Víctima del Delito produce y cuál es el nivel de apertura actual de acuerdo con los estándares de datos abiertos y otros parámetros internacionales.Mapeo del ecosistema de datos del instituto para identificar los distintos roles y de datos abiertos (productores, intermediarios, habilitadores, infomediarios y/o consumidores potenciales o actuales de datos).Informe 2 que indique:Nivel de participación de los integrantes del ecosistema de datos que se prevé en el proceso de apertura.Descripción de las entrevistas, encuestas y otras técnicas de investigación necesarias para recabar la información.Descripción de las reuniones y sesiones de trabajo con entidades administrativas y técnicas del instituto de atención a la víctima y personas/organizaciones del ecosistema de datos que sean necesarias para recopilar los insumos.Informe 3 que indique:fortalezas y desafíos materiales e institucionales para implementar los estándares de datos abiertos en justicia.Viabilidad de la apertura de datos con especial atención a poblaciones en situación de vulnerabilidad.Describir el mapeo de los sistemas informáticos en uso para identificar los principales flujos de información.Describir los recursos, humanos, financieros, ajustes institucionales y demás elementos que permitan la viabilidad de la implementación de los estándares de datos abiertos en justicia.Informe 4 que indique:Descripción de los procesos de sensibilización sobre datos abiertos en justicia para brindar un primer acercamiento especializado al personal clave institucional que formará parte del proceso de implementación de los estándares de datos abiertos en justicia.
Localización

El/la consultor/a prestará servicios en la Ciudad de Guatemala.

Nivel de Esfuerzo

40 días

Perfil requerido 

Licenciatura en ciencias jurídicas y sociales, abogacía y notariado o ciencia afín al propósito de la consultoría. Experiencia en temas relacionados con modernización de instituciones de justicia e innovación de servicios públicos.De preferencia con posgrado o conocimientos especializados sobre democracia y datos abiertos; y 10 años de experiencia profesional en alguna de estas áreas.Con experiencia en realizar talleres y capacitaciones a instituciones de justicia y organizaciones de sociedad civil sobre datos abiertosDe preferencia con conocimiento sobre transparencia, acceso a la información pública y justicia abierta.De preferencia haber sido consultor/a en proyectos de cooperación internacional.Ser ciudadano/a guatemalteco/a o contar con los permisos/requisitos legales para trabajar en Guatemala.

Componentes Técnicos

Justicia Abierta y Transparencia

Work Plan Objective

Objective 3: Increase transparency to improve effectiveness and legitimacy.

Supervisor

Open Justice and Transparency Coordinator

Nacionalidad

TCN/CCN

Cómo aplicar

Enviar su CV a icruz@dexisonline.com a más tardar el 23 de agosto de 2024. Favor de indicar la posición en el asunto.

Dexis promueve la igualdad de oportunidad de empleo para todas las personas sin distinción alguna.

Dexis is on a mission to help solve today’s most pressing global political, social, and economic challenges and create a world where all people are safe and prosperous. As a Dexis employee, you will be challenged, empowered, and mentored. Our motto is “find a way or make a way” — that’s how Dexis goes “all in.” How will you?

If you are passionate about this opportunity, apply now! 

Only those applicants who meet the above criteria will be contacted for interview.

Dexis is an Equal Opportunity Employer, and does not discriminate on the basis of race, color, sex, national origin, religion, pregnancy, disability, age, genetic information, military service, veteran status, ethnicity, citizenship, sexual orientation, gender identity, marital status, childbirth and related medical conditions, including lactation, or any other protected class under applicable law.

As part of a competitive benefits package for eligible employees, Dexis provides healthcare insurance in addition to other staff welfare benefits and perks.

If you are hired for a position that is paid from the Dexis home office, you will be required to submit proof that you have received the COVID-19 vaccine unless you qualify for a legally recognized medical or religious exception to the vaccine requirement. This does not apply to AL, AZ, FL, KS, MT, NH, ND, or TX residents.",,OTHR,['Hybrid'],"{'name': 'Dexis Consulting Group', 'logo': 'https://media.licdn.com/dms/image/v2/D560BAQGpY2Ros8SUXQ/company-logo_200_200/company-logo_200_200/0/1725038872013/dexis_consulting_group_logo?e=1733356800&v=beta&t=o7gZ3R3BLF14ltl8ATj5ZKMe6fQ-EZ3gV9Idnhe067I', 'backgroundCoverImage': 'https://media.licdn.com/dms/image/v2/D563DAQGwIbpZQJJPXQ/image-scale_127_750/image-scale_127_750/0/1694713764002/dexis_consulting_group_cover?e=1725778800&v=beta&t=Mg3Cv3numTAvDrcY2y2dgdpm9eMBAuQz5Fy8AWji6sQ', 'description': 'Dexis Consulting Group is a dynamic professional services firm dedicated to partnering with government and community leaders both in the U.S. and internationally to achieve critical social outcomes in a rapidly changing world. \n\nWith over 23 years of experience, we have successfully driven projects for key U.S. Government agencies, including USAID, the Department of State, and the Department of Defense.', 'staffCount': 380, 'staffCountRange': {'staffCountRangeStart': 501, 'staffCountRangeEnd': 1000}, 'universalName': 'dexis-consulting-group', 'url': 'https://www.linkedin.com/company/dexis-consulting-group', 'industries': ['International Trade and Development'], 'specialities': ['Stabilization & Conflict Mitigation', 'Rule of Law', 'Agriculture & Economic Growth', 'Anti-Corruption', 'Strategic Communications', 'Institutional Strengthening', 'Institutional Support Services', 'Assessment, Monitoring, Evaluation & Learning', 'Conflict & Violence Prevention', 'Program Management', 'Technical Expertise']}",https://dexisonline.com/jobs/?gh_jid=4455393005,https://www.linkedin.com/jobs/view/3997637934/?trk=jobs_biz_prem_srch,2024-08-31 10:00:28+00:00
Administrador de Bases de Datos Senior,,,,,,,5,"Guatemala, Guatemala, Guatemala",Full-time,Mid-Senior level,Business Consulting and Services,"Importante Empresa De Retail Busca

Administrador de Bases de Datos Senior

Administración de las bases de datos de la organización, asegurando su óptimo rendimiento, seguridad, réplicas, alta disponibilidad y capacidad de recuperación. Responsable de la estrategia y ejecución en la gestión de bases de datos críticas, así como de la implementación de arquitecturas robustas que soporten las operaciones de la organización en un entorno de alta disponibilidad. Además, se encargará de apoyar la integración de soluciones de Business Intelligence para la toma de decisiones estratégicas.

Responsabilidades Principales

Instalar, configurar y gestionar las bases de datos de las cadenas, analizar los impactos previos a cambios a través de pruebas piloto, documentación y procedimientos para mantener datos estandarizados, escalables y seguros.

Ejecutar tareas de mantenimiento para evitar errores en el funcionamiento de las bases de datos.

Desarrollar y mantener la plataforma de inteligencia de negocios, incluyendo el Data Warehouse, diseño de cubos de información, alarmas e interfaces de usuario como dashboards y scorecards.

Elaborar e implementar planes de monitoreo y gestión para prevenir fallos en las bases de datos.

Elaborar planes de respaldo y recuperación ante fallas en colaboración con la Coordinación, definiendo el impacto en la continuidad de los procesos de la compañía.

Desarrollar tareas de tuning (optimización) de bases de datos, mejorando consultas SQL y configuraciones de servidor.

Análisis de Requerimientos.

Requisitos

Educación: Cierre de pensum o título universitario en Ingeniería en Sistemas, Ciencias de la Computación, Informática o carreras afines. Certificaciones avanzadas en bases de datos (como Oracle DBA, SQL Server DBA DESEABLES).

Experiencia

Más de 5 años de experiencia como DBA (Oracle, SQL Server), Analista de Datos o Arquitecto de Modelos de Datos.

Dominio avanzado en lenguajes de bases de datos como T-SQL y PL/SQL, con experiencia probada en la creación de consultas SQL complejas, Store Procedures, Funciones y Packages para entornos de alta demanda.

Gestión de bases de datos, almacenamiento (tablespace, datafile), mdf, export, import (rman).

Dominio de herramientas de Business Intelligence: Integration Services/Data Factory, Analysis Services, Cubos de Información, Power BI.

Sistemas Operativos: Oracle Linux / Windows.

Idiomas: Inglés Intermedio (Indispensable).

Ofrecemos contratación en planilla, modalidad presencial en la zona 10 de lunes a viernes.",,IT,['Hybrid'],{},https://www.unmejorempleo.com.gt/empleo-en_guatemala_administrador_de_bases_de_datos_senior-5639931.html,https://www.linkedin.com/jobs/view/4010994049/?trk=jobs_biz_prem_srch,2024-08-27 05:39:31+00:00
Analista de Datos & Soporte,https://www.linkedin.com/company/16253164,https://www.linkedin.com/company/inchcape-americas,16253164,inchcape-americas,Inchcape Américas,,145,"Guatemala, Guatemala",Full-time,Mid-Senior level,Retail Motor Vehicles,"Inchcape es el distribuidor automotriz líder a nivel global, con presencia en más de 40 países. Somos socios estratégicos de 40 de las marcas automotrices más importantes, impulsando una movilidad mejor, para hoy y para el futuro.Somos un equipo diverso y global, formado por más de 20.000 personas, que fomenta una cultura de inclusión y colaboración, con el objetivo de lograr grandes experiencias para nuestros clientes y socios. En Américas, somos un equipo 8.500 personas y estamos presentes en 14 países de la región, y seguimos creciendo, dedicados a crear un futuro exitoso y sostenible para la industria.En Inchcape, podrás hacer realidad todo tu potencial, aprovechando diversas oportunidades de carrera y experiencias de aprendizaje. Trabajarás con tecnología de vanguardia, innovando y colaborando con colegas guiados por una mentalidad de futuro. Si estás motivado, tienes una actitud positiva y ganas de mostrar lo mejor de ti, te invitamos a sumarte a nosotros para impulsar el futuro de la movilidad.
Hoy nuestra Gerencia Partes & Logística se encuentra en la búsqueda de su próximo/a Analista de Datos & Soporte quien tendrá la misión de representar la marca y atender a los clientes cuidando la experiencia y generando rentabilidad. 
Dentro de las principales funciones a realizar se encuentran:Desarrollo de gestiones operativas de venta.Resolutor de problemas.Analizar y generar reportes dinámicos.Visualizar la Data en Dashbord
Haremos Match si cumples con los siguientes Requisitos:Administración, Mercadeo, Ingeniería, Ciencias de la Computación o carrera a fin.Facilidad Matemática y Estadística.Manejo y entendimiento de números orientado a negocios.Manejo Avanzado de Plataformas de visualización PowerBi.Manejo Avanzado Excel AA+Excelente actitud de servicio.
Ofrecemos:Seguro empresarial.Plan de capacitación y certificaciones.Salario Competitivo
En Inchcape Americas, nos dedicamos a construir un lugar de trabajo diverso, inclusivo y auténtico. Inchcape es para todos y todas. Si te entusiasma este rol y compartes nuestros valores de entregar grandes experiencias a través de un pensamiento innovador y trabajando mejor juntos; te invitamos a postular.",,ANLS,['On-site'],"{'name': 'Inchcape Américas', 'logo': 'https://media.licdn.com/dms/image/v2/C4D0BAQHAM_uVzQYDIQ/company-logo_200_200/company-logo_200_200/0/1649272501108/inchcape_americas_logo?e=1733356800&v=beta&t=0zCLGf75Lkwfm353xH4ZIqCiTH5zzcAYWmc622g711s', 'backgroundCoverImage': 'https://media.licdn.com/dms/image/v2/C4D1BAQF6UQSfiXgZuw/company-background_10000/company-background_10000/0/1649272801190/inchcape_americas_cover?e=1725778800&v=beta&t=XzSJRlQTc9awYV_ejA0Oi1w5WFCojF7J9cPxzs_LENg', 'description': 'Inchcape es el principal distribuidor automotriz multimarca independiente a nivel mundial y opera en más de 40 países con una cartera de las principales marcas de automóviles del mundo. \n\nContamos con fuentes de ingresos multicanal diversificadas que incluyen la venta de vehículos nuevos y usados, repuestos, servicios, financiación y seguros. \n\nRegionalmente Inchcape Américas está presente en 14 países de América Latina y el Caribe (Chile, Colombia, Perú, Bolivia, Argentina, Uruguay, Ecuador, Panamá, Costa Rica, Guatemala, El Salvador, Barbados, Honduras y Puerto Rico) empleando a más de 8,000 personas en la región. ', 'staffCount': 2207, 'staffCountRange': {'staffCountRangeStart': 5001, 'staffCountRangeEnd': 10000}, 'universalName': 'inchcape-americas', 'url': 'https://www.linkedin.com/company/inchcape-americas', 'industries': ['Motor Vehicle Manufacturing'], 'specialities': []}",,https://www.linkedin.com/jobs/view/4007817791/?trk=jobs_biz_prem_srch,2024-08-22 17:19:32+00:00
Ingeniero de datos - Oracle,,,,,,,2,"Guatemala City, Guatemala, Guatemala",Contract,Entry level,IT Services and IT Consulting,"Desarrollar, implementar y mantener soluciones basadas en Oracle para apoyar las necesidades de negocio y optimizar el rendimiento de las aplicaciones y bases de datos. Trabajar en estrecha colaboración con equipos de desarrollo y administración de bases de datos para asegurar que las soluciones sean robustas, escalables y eficientes.

Responsabilidades

Diseñar, desarrollar y mantener aplicaciones utilizando tecnologías Oracle, incluyendo PL/SQL, Oracle Forms, Oracle Reports, y Oracle Application Express (APEX).

Crear y optimizar procedimientos almacenados, funciones, paquetes y triggers en PL/SQL.

Implementar soluciones de bases de datos eficientes y escalables basadas en los requerimientos de negocio.

Análisis y Diseño

Colaborar con analistas de negocio y usuarios finales para comprender los requerimientos y traducirlos en especificaciones técnicas.

Desarrollar y mantener documentación técnica y de usuario detallada.

Optimización y Rendimiento

Monitorizar y optimizar el rendimiento de las bases de datos y aplicaciones Oracle.

Realizar tuning de SQL y PL/SQL para mejorar la eficiencia y reducir los tiempos de respuesta.

Integración y Soporte

Integrar aplicaciones y bases de datos Oracle con otras tecnologías y sistemas empresariales.

Proporcionar soporte técnico y resolución de problemas para aplicaciones y bases de datos Oracle.",,IT,['Hybrid'],{},https://gt.trabajosdiarios.com/trabajo/2701224/ingeniero-de-datos-oracle-en-guatemala,https://www.linkedin.com/jobs/view/4012326105/?trk=jobs_biz_prem_srch,2024-08-29 00:00:00+00:00
Analista de Base de datos / Villa Nueva,,,,,,,12,"Villa Nueva, Guatemala, Guatemala",Full-time,Entry level,Human Resources Services,"Responsable de generación de reportes para conocer la métricas del negocio, manejo de POWER BI

Desarrollo de Dashboard y estructura de base de datos utilizando herramientas POWER BI, Microsoft SQL Server, Data Warehouse,ETLs, Cubos OLAP.

OFRECEMOS

Salario Q10,000

Prestaciones de ley

Estabilidad laboral

Horario de Lunes a viernes de 8:00 am a 5:00 pm

Parqueo

Requerimos

Genero Masculino

Estudios avanzados en ingeniería o licenciatura en sistemas

2 años de experiencia en el área

Ingles Tecnico

Edad entre 22 a 40 años",,IT,['Hybrid'],{},https://www.unmejorempleo.com.gt/empleo-en_guatemala_analista_de_base_de_datos__villa_nueva-5630895.html,https://www.linkedin.com/jobs/view/3995153719/?trk=jobs_biz_prem_srch,2024-08-07 02:09:52+00:00
Ingeniero de datos,https://www.linkedin.com/company/40900451,https://www.linkedin.com/company/solvexgt,40900451,solvexgt,Solvex Guatemala,,35,"Guatemala, Guatemala, Guatemala",Full-time,,,"Responsable de garantizar que el procesamiento, traslado y transformación de datos desde y hacia la plataforma analítica de forma efectiva apalancándose de tecnologías como DataBricks, Data Factory y Data Lake.
Responsabilidades Principales:
Extracción de Datos WebTransformación de DatosIntegración de Datos
Requisitos del Puesto: • Python intermedio ( selenium, pandas, etc ) • SQL  • PySpark • Git o Azure DevOps • DataBricks  • Datafactory  • Experiencia con servicios Azure ( Functions, VM, KeyVault, Storage Account)
 Deseables: • Experiencia extracción de información desde SAP ( ECC, BW,BPC, HANA) • Conocimiento de Delta Lake • Microsoft Power AppsMicrosoft Power Automate
",,IT,['Hybrid'],"{'name': 'Solvex Guatemala', 'logo': 'https://media.licdn.com/dms/image/v2/C4D0BAQHthjVyksmiSQ/company-logo_200_200/company-logo_200_200/0/1630577284460/solvexgt_logo?e=1733356800&v=beta&t=LyL7JQdAoXLmgQWgnc3Z5-KZBM62PXSJi2eGzVc_AOI', 'backgroundCoverImage': 'https://media.licdn.com/dms/image/v2/C4D1BAQGEPkJh5ODG9w/company-background_10000/company-background_10000/0/1592788727407/solvexgt_cover?e=1725778800&v=beta&t=MkYZRXcJ0cFc_Pe5Z_sgXtKiHv-gve7aWsBUMaHU0uQ', 'description': 'SOLVEX is a cloud service provider recognized worldwide as a technology expert with offices in the Dominican Republic, Guatemala and the United States. We offer services in key areas of enterprise web application development, mobile application, enterprise content management (CMS), DevOps and Cloud solutions.', 'staffCount': 1, 'staffCountRange': {'staffCountRangeStart': 51, 'staffCountRangeEnd': 200}, 'universalName': 'solvexgt', 'url': 'https://www.linkedin.com/company/solvexgt', 'industries': ['Business Consulting and Services'], 'specialities': ['Microsfot', 'Azure', 'Office 365', 'Analytics', 'Business Intelligence', 'Cloud', 'Desarrollo', 'Microsoft Teams', 'Servicios Manejados', 'PowerBI', 'PowerApps', 'PowerPlatform']}",,https://www.linkedin.com/jobs/view/4010269332/?trk=jobs_biz_prem_srch,2024-08-28 16:03:34+00:00
